fecha_hora,latitud,longitud,via,grado_severidad,tipo_siniestro,causa_probable,victima1_edad,victima1_condicion,victima1_sexo,victima1_actor_vial,victima2_edad,victima2_condicion,victima2_sexo,victima2_actor_vial,victima3_edad,victima3_condicion,victima3_sexo,victima3_actor_vial
2020-04-15 19:53:39,-3.993030,-79.195859,Via Loja - Zamora,SOLO_DANOS,Choque Vehicular,Mal estado de la via,,,,,,,,,,,,
2020-09-03 01:15:43,-4.004080,-79.200943,Av. Orillas del Zamora,SOLO_DANOS,Incendio,Via resbaladiza o mojada,,,,,,,,,,,,
2020-05-18 10:13:37,-4.013063,-79.178072,Calle 10 de Agosto,CON_LESIONADOS,Incendio,Via resbaladiza o mojada,57,LESIONADO,MUJER,OTRO,36,LESIONADO,MUJER,SCOOTER,,,,
2020-05-19 09:32:41,-3.990228,-79.187259,Av. Rosa Hermosa,CON_FALLECIDOS,Volcamiento,Factores externos,21,FALLECIDO,MUJER,PEATON,71,LESIONADO,MUJER,VEH_LIVIANO,7,LESIONADO,MUJER,MOTOCICLETA
2020-11-16 13:03:53,-4.015318,-79.180712,Ruta 35,CON_FALLECIDOS,Choque Vehicular,Equipo de seguridad deficiente,22,FALLECIDO,HOMBRE,OTRO,26,FALLECIDO,NO_REGISTRA,CICLISTA,37,LESIONADO,NO_REGISTRA,OTRO
2020-05-27 18:12:07,-4.029865,-79.194655,Calle Montufar,CON_FALLECIDOS,Accidente Laboral,Visibilidad reducida,46,FALLECIDO,NO_REGISTRA,VEH_LIVIANO,43,FALLECIDO,MUJER,VEH_LIVIANO,64,LESIONADO,MUJER,SCOOTER
2020-01-05 06:17:51,-3.987024,-79.216370,Calle Saraguro,SOLO_DANOS,Choque Vehicular,Visibilidad reducida,,,,,,,,,,,,
2020-12-15 13:08:22,-4.007784,-79.186629,Av. Cuxibamba,CON_FALLECIDOS,Atropellamiento,Distraccion (celular/radio),65,FALLECIDO,HOMBRE,SCOOTER,20,FALLECIDO,HOMBRE,VEH_LIVIANO,39,LESIONADO,HOMBRE,MOTOCICLETA
2020-06-04 19:15:57,-3.990813,-79.191614,Calle Montufar,CON_FALLECIDOS,Volcamiento,Equipo de seguridad deficiente,53,FALLECIDO,HOMBRE,PEATON,68,LESIONADO,MUJER,PEATON,,,,
2020-11-30 19:14:27,-3.991077,-79.178288,Via Loja - Catamayo,CON_FALLECIDOS,Accidente Laboral,Inobservancia de senales,56,FALLECIDO,HOMBRE,CICLISTA,44,FALLECIDO,MUJER,PEATON,42,LESIONADO,HOMBRE,MOTOCICLETA
2020-10-15 19:21:12,-4.018714,-79.182582,Av. 8 de Diciembre,CON_LESIONADOS,Caida,Factores externos,11,LESIONADO,MUJER,VEH_LIVIANO,42,LESIONADO,NO_REGISTRA,VEH_LIVIANO,53,LESIONADO,MUJER,VEH_LIVIANO
2020-10-30 20:40:02,-4.000984,-79.193958,Av. 8 de Diciembre,SOLO_DANOS,Choque Vehicular,Imprudencia del conductor,,,,,,,,,,,,
2020-06-13 20:12:45,-3.980673,-79.195440,Av. Cuxibamba,CON_FALLECIDOS,Incendio,Fatiga del conductor,20,FALLECIDO,MUJER,MOTOCICLETA,59,FALLECIDO,HOMBRE,VEH_LIVIANO,62,LESIONADO,NO_REGISTRA,MOTOCICLETA
2020-11-30 05:37:30,-4.016919,-79.223088,Calle 18 de Noviembre,SOLO_DANOS,Volcamiento,Imprudencia del conductor,,,,,,,,,,,,
2020-01-13 17:21:53,-3.980265,-79.182646,Av. Cuxibamba,CON_FALLECIDOS,Volcamiento,Visibilidad reducida,62,FALLECIDO,MUJER,MOTOCICLETA,42,LESIONADO,NO_REGISTRA,MOTOCICLETA,,,,
2020-08-17 21:07:30,-3.996589,-79.180862,Calle Rocafuerte,CON_FALLECIDOS,Colision Multiple,Falla mecanica,53,FALLECIDO,NO_REGISTRA,SCOOTER,55,FALLECIDO,HOMBRE,OTRO,73,LESIONADO,NO_REGISTRA,MOTOCICLETA
2020-09-09 06:05:27,-4.013353,-79.191220,Calle Miguel Riofrio,CON_FALLECIDOS,Accidente Laboral,Falla mecanica,28,FALLECIDO,MUJER,OTRO,5,LESIONADO,NO_REGISTRA,CICLISTA,71,LESIONADO,MUJER,MOTOCICLETA
2020-10-25 08:30:27,-4.013675,-79.201229,Calle Miguel Riofrio,CON_FALLECIDOS,Accidente Laboral,Falla mecanica,51,FALLECIDO,HOMBRE,PEATON,19,FALLECIDO,MUJER,MOTOCICLETA,27,LESIONADO,MUJER,CICLISTA
2020-01-14 22:26:50,-4.004018,-79.181790,Av. 8 de Diciembre,SOLO_DANOS,Volcamiento,Exceso de velocidad,,,,,,,,,,,,
2020-10-04 23:34:00,-4.034984,-79.176837,Via Loja - Zamora,CON_FALLECIDOS,Choque Vehicular,Mal estado de la via,28,FALLECIDO,HOMBRE,PEATON,36,FALLECIDO,NO_REGISTRA,PEATON,40,LESIONADO,NO_REGISTRA,SCOOTER
2020-01-06 09:55:46,-3.983144,-79.228825,Calle Sucre,CON_FALLECIDOS,Colision Multiple,Visibilidad reducida,26,FALLECIDO,NO_REGISTRA,VEH_LIVIANO,53,FALLECIDO,MUJER,SCOOTER,32,LESIONADO,NO_REGISTRA,VEH_LIVIANO
2020-07-12 04:22:20,-4.019310,-79.180882,Calle Sucre,SOLO_DANOS,Atropellamiento,Distraccion (celular/radio),,,,,,,,,,,,
2020-08-03 09:59:38,-3.996648,-79.212315,Av. Manuel Agustin Aguirre,CON_LESIONADOS,Incendio,Mal estado de la via,57,LESIONADO,NO_REGISTRA,CICLISTA,39,LESIONADO,NO_REGISTRA,VEH_LIVIANO,5,LESIONADO,HOMBRE,VEH_LIVIANO
2020-01-30 10:54:01,-4.007543,-79.207777,Calle Azogues,CON_FALLECIDOS,Choque Vehicular,Estado de embriaguez,76,FALLECIDO,MUJER,MOTOCICLETA,52,LESIONADO,NO_REGISTRA,SCOOTER,,,,
2020-10-15 19:59:32,-4.014305,-79.198591,Calle Mercadillo,SOLO_DANOS,Caida,Inobservancia de senales,72,LESIONADO,HOMBRE,VEH_LIVIANO,,,,,,,,
2020-02-09 16:10:43,-3.980788,-79.225384,Calle Mercadillo,CON_LESIONADOS,Choque Vehicular,Exceso de velocidad,27,LESIONADO,MUJER,PEATON,59,LESIONADO,MUJER,PEATON,,,,
2020-11-11 12:13:43,-3.982848,-79.224136,Calle Bolivar,CON_LESIONADOS,Atropellamiento,Exceso de velocidad,70,LESIONADO,NO_REGISTRA,CICLISTA,,,,,,,,
2020-01-19 14:59:16,-4.020007,-79.198341,Calle Mercadillo,CON_LESIONADOS,Colision Multiple,Distraccion (celular/radio),55,LESIONADO,MUJER,MOTOCICLETA,21,LESIONADO,MUJER,CICLISTA,53,LESIONADO,MUJER,OTRO
2020-10-28 21:13:26,-4.009935,-79.210193,Ruta 35,CON_LESIONADOS,Accidente Laboral,Estado de embriaguez,74,LESIONADO,MUJER,VEH_LIVIANO,,,,,,,,
2020-03-01 17:33:39,-4.000902,-79.185449,Calle Rocafuerte,SOLO_DANOS,Atropellamiento,Inobservancia de senales,,,,,,,,,,,,
2020-11-22 22:09:05,-4.009184,-79.178695,Av. Isidro Ayora,CON_LESIONADOS,Incendio,Equipo de seguridad deficiente,29,LESIONADO,NO_REGISTRA,MOTOCICLETA,79,LESIONADO,NO_REGISTRA,VEH_LIVIANO,,,,
2020-05-05 13:10:38,-4.021348,-79.190778,Av. Metropolitana,CON_LESIONADOS,Colision Multiple,Via resbaladiza o mojada,68,LESIONADO,MUJER,SCOOTER,,,,,,,,
2020-06-18 18:37:08,-3.994017,-79.195325,Av. Isidro Ayora,CON_LESIONADOS,Atropellamiento,Imprudencia del conductor,80,LESIONADO,MUJER,PEATON,45,LESIONADO,NO_REGISTRA,PEATON,,,,
2020-07-09 13:55:04,-4.018855,-79.205049,Av. Manuel Agustin Aguirre,CON_LESIONADOS,Colision Multiple,Via resbaladiza o mojada,26,LESIONADO,HOMBRE,PEATON,38,LESIONADO,MUJER,VEH_LIVIANO,11,LESIONADO,NO_REGISTRA,MOTOCICLETA
2020-03-26 03:17:14,-4.019479,-79.175463,Calle 10 de Agosto,CON_FALLECIDOS,Caida,Via resbaladiza o mojada,63,FALLECIDO,MUJER,MOTOCICLETA,62,LESIONADO,MUJER,PEATON,44,LESIONADO,NO_REGISTRA,SCOOTER
2020-01-22 19:56:05,-3.982660,-79.200312,Av. Manuel Agustin Aguirre,CON_FALLECIDOS,Atropellamiento,Factores externos,56,FALLECIDO,NO_REGISTRA,OTRO,48,FALLECIDO,HOMBRE,MOTOCICLETA,8,LESIONADO,NO_REGISTRA,OTRO
2020-05-03 20:36:54,-3.992108,-79.217877,Calle Saraguro,CON_FALLECIDOS,Caida,Fatiga del conductor,85,FALLECIDO,HOMBRE,VEH_LIVIANO,49,LESIONADO,HOMBRE,PEATON,42,LESIONADO,MUJER,MOTOCICLETA
2020-07-11 06:13:20,-3.990062,-79.186730,Av. Universitaria,CON_LESIONADOS,Caida,Distraccion (celular/radio),55,LESIONADO,NO_REGISTRA,VEH_LIVIANO,,,,,,,,
2020-05-10 05:35:55,-4.021643,-79.174951,Calle Miguel Riofrio,SOLO_DANOS,Incendio,Via resbaladiza o mojada,,,,,,,,,,,,
2020-08-10 16:16:50,-3.992611,-79.190680,Calle Mercadillo,CON_FALLECIDOS,Caida,Via resbaladiza o mojada,50,FALLECIDO,MUJER,SCOOTER,27,FALLECIDO,NO_REGISTRA,OTRO,65,LESIONADO,HOMBRE,MOTOCICLETA
2020-01-05 08:44:16,-3.978013,-79.229375,Calle Montufar,CON_FALLECIDOS,Colision Multiple,Factores externos,43,FALLECIDO,NO_REGISTRA,OTRO,46,LESIONADO,NO_REGISTRA,CICLISTA,13,LESIONADO,HOMBRE,PEATON
2020-06-01 11:58:29,-4.000102,-79.223434,Calle 10 de Agosto,CON_LESIONADOS,Volcamiento,Exceso de velocidad,45,LESIONADO,HOMBRE,PEATON,,,,,,,,
2020-03-13 14:09:34,-4.020620,-79.209537,Calle Azogues,CON_LESIONADOS,Caida,Estado de embriaguez,69,LESIONADO,MUJER,SCOOTER,63,LESIONADO,HOMBRE,PEATON,,,,
2020-05-16 02:12:40,-3.992608,-79.182495,Via Loja - Catamayo,SOLO_DANOS,Incendio,Factores externos,,,,,,,,,,,,
2020-04-15 21:55:10,-4.020696,-79.178844,Av. 8 de Diciembre,CON_FALLECIDOS,Atropellamiento,Fatiga del conductor,76,FALLECIDO,HOMBRE,PEATON,,,,,,,,
2020-03-02 09:20:46,-4.014125,-79.192389,Calle 18 de Noviembre,SOLO_DANOS,Atropellamiento,Inobservancia de senales,,,,,,,,,,,,
2020-04-08 12:14:11,-3.978778,-79.194180,Calle Mercadillo,SOLO_DANOS,Accidente Laboral,Falla mecanica,,,,,,,,,,,,
2020-09-12 01:17:14,-3.981218,-79.216277,Calle Quito,CON_LESIONADOS,Volcamiento,Exceso de velocidad,58,LESIONADO,MUJER,VEH_LIVIANO,,,,,,,,
2020-08-23 22:47:28,-4.029140,-79.209138,Av. Pio Jaramillo,CON_LESIONADOS,Incendio,Falla mecanica,66,LESIONADO,HOMBRE,PEATON,9,LESIONADO,NO_REGISTRA,MOTOCICLETA,46,LESIONADO,HOMBRE,SCOOTER
2020-02-22 23:37:05,-4.033722,-79.182638,Calle Colon,CON_FALLECIDOS,Atropellamiento,Inobservancia de senales,67,FALLECIDO,NO_REGISTRA,PEATON,,,,,,,,
2020-11-19 23:59:08,-4.006947,-79.219545,Calle Montufar,CON_LESIONADOS,Choque Vehicular,Visibilidad reducida,37,LESIONADO,HOMBRE,OTRO,,,,,,,,
2020-09-06 14:23:39,-4.031571,-79.199556,Calle Imbabura,CON_LESIONADOS,Incendio,Distraccion (celular/radio),71,LESIONADO,NO_REGISTRA,MOTOCICLETA,,,,,,,,
2020-02-24 01:27:19,-3.985182,-79.172357,Calle Saraguro,CON_FALLECIDOS,Volcamiento,Via resbaladiza o mojada,49,FALLECIDO,MUJER,MOTOCICLETA,79,FALLECIDO,HOMBRE,PEATON,,,,
2020-05-21 01:00:55,-3.991602,-79.185681,Calle Rocafuerte,CON_FALLECIDOS,Colision Multiple,Inobservancia de senales,23,FALLECIDO,MUJER,OTRO,22,FALLECIDO,HOMBRE,SCOOTER,44,LESIONADO,HOMBRE,MOTOCICLETA
2020-04-24 22:39:58,-4.018856,-79.226512,Via Loja - Zamora,SOLO_DANOS,Accidente Laboral,Visibilidad reducida,,,,,,,,,,,,
2020-01-26 15:50:27,-4.014915,-79.171370,Av. Metropolitana,CON_FALLECIDOS,Caida,Exceso de velocidad,48,FALLECIDO,HOMBRE,MOTOCICLETA,8,LESIONADO,HOMBRE,SCOOTER,35,LESIONADO,MUJER,OTRO
2020-02-20 01:37:04,-4.018262,-79.193921,Via Loja - Zamora,SOLO_DANOS,Choque Vehicular,Imprudencia del conductor,,,,,,,,,,,,
2020-11-25 17:25:08,-4.004574,-79.228263,Av. Rosa Hermosa,CON_FALLECIDOS,Accidente Laboral,Imprudencia del conductor,68,FALLECIDO,MUJER,OTRO,62,LESIONADO,HOMBRE,PEATON,,,,
2020-04-11 20:09:45,-4.030915,-79.227295,Calle Saraguro,SOLO_DANOS,Accidente Laboral,Falla mecanica,,,,,,,,,,,,
2020-08-30 08:33:21,-3.979861,-79.197302,Calle 10 de Agosto,CON_FALLECIDOS,Colision Multiple,Imprudencia del conductor,61,FALLECIDO,MUJER,VEH_LIVIANO,79,FALLECIDO,MUJER,MOTOCICLETA,44,LESIONADO,MUJER,VEH_LIVIANO
2020-11-25 07:26:54,-4.009319,-79.227226,Calle Ramon Borrero,SOLO_DANOS,Accidente Laboral,Visibilidad reducida,,,,,,,,,,,,
2020-11-21 07:07:09,-3.992715,-79.200322,Calle Mercadillo,CON_FALLECIDOS,Choque Vehicular,Falla mecanica,68,FALLECIDO,HOMBRE,SCOOTER,50,FALLECIDO,HOMBRE,SCOOTER,34,LESIONADO,NO_REGISTRA,VEH_LIVIANO
2020-02-04 22:07:52,-4.027960,-79.227193,Calle Colon,CON_FALLECIDOS,Colision Multiple,Distraccion (celular/radio),46,FALLECIDO,MUJER,PEATON,9,LESIONADO,HOMBRE,SCOOTER,49,LESIONADO,MUJER,VEH_LIVIANO
2020-07-31 09:59:14,-4.023967,-79.187334,Av. Orillas del Zamora,SOLO_DANOS,Accidente Laboral,Inobservancia de senales,,,,,,,,,,,,
2020-04-11 08:53:27,-4.023068,-79.171183,Calle Rocafuerte,SOLO_DANOS,Caida,Fatiga del conductor,,,,,,,,,,,,
2020-12-03 06:08:32,-4.034963,-79.210889,Av. Orillas del Zamora,CON_LESIONADOS,Choque Vehicular,Estado de embriaguez,80,LESIONADO,HOMBRE,OTRO,27,LESIONADO,MUJER,CICLISTA,,,,
2020-06-18 18:34:32,-4.003554,-79.184429,Via Loja - Catamayo,CON_LESIONADOS,Incendio,Falla mecanica,12,LESIONADO,NO_REGISTRA,CICLISTA,76,LESIONADO,HOMBRE,OTRO,75,LESIONADO,NO_REGISTRA,OTRO
2020-05-06 14:34:07,-4.031439,-79.229541,Av. Gran Colombia,SOLO_DANOS,Incendio,Imprudencia del conductor,,,,,,,,,,,,
2020-02-09 02:56:44,-3.977228,-79.180373,Calle Azogues,SOLO_DANOS,Choque Vehicular,Factores externos,,,,,,,,,,,,
2020-11-19 22:38:57,-3.978557,-79.208028,Ruta 35,CON_LESIONADOS,Volcamiento,Mal estado de la via,5,LESIONADO,HOMBRE,PEATON,38,LESIONADO,MUJER,PEATON,,,,
2020-01-12 19:06:06,-4.016053,-79.202535,Av. 8 de Diciembre,CON_FALLECIDOS,Atropellamiento,Fatiga del conductor,46,FALLECIDO,MUJER,SCOOTER,28,FALLECIDO,MUJER,VEH_LIVIANO,46,LESIONADO,MUJER,PEATON
2020-01-22 05:55:02,-4.014917,-79.180081,Via Loja - Zamora,CON_FALLECIDOS,Colision Multiple,Factores externos,59,FALLECIDO,NO_REGISTRA,VEH_LIVIANO,30,LESIONADO,NO_REGISTRA,SCOOTER,24,LESIONADO,MUJER,CICLISTA
2020-09-17 04:58:59,-4.016606,-79.219021,Av. Cuxibamba,SOLO_DANOS,Atropellamiento,Imprudencia del conductor,,,,,,,,,,,,
2020-07-25 03:04:41,-4.029384,-79.216686,Calle Azogues,SOLO_DANOS,Caida,Exceso de velocidad,,,,,,,,,,,,
2020-10-07 11:26:12,-4.012314,-79.223807,Calle Miguel Riofrio,CON_LESIONADOS,Colision Multiple,Factores externos,18,LESIONADO,MUJER,PEATON,36,LESIONADO,HOMBRE,OTRO,45,LESIONADO,MUJER,PEATON
2020-12-08 07:45:26,-4.017295,-79.173318,Av. Gran Colombia,SOLO_DANOS,Accidente Laboral,Distraccion (celular/radio),,,,,,,,,,,,
2020-12-18 19:50:42,-3.996995,-79.225561,Av. Reinaldo Espinosa,CON_LESIONADOS,Accidente Laboral,Via resbaladiza o mojada,30,LESIONADO,MUJER,PEATON,12,LESIONADO,HOMBRE,CICLISTA,11,LESIONADO,NO_REGISTRA,SCOOTER
2020-08-29 16:28:15,-4.028925,-79.200203,Calle Bolivar,CON_LESIONADOS,Colision Multiple,Visibilidad reducida,64,LESIONADO,MUJER,PEATON,,,,,,,,
2020-09-10 04:36:19,-4.021323,-79.201796,Via Loja - Catamayo,SOLO_DANOS,Atropellamiento,Equipo de seguridad deficiente,,,,,,,,,,,,
2020-04-10 22:49:06,-3.997361,-79.207484,Calle Azogues,SOLO_DANOS,Choque Vehicular,Mal estado de la via,,,,,,,,,,,,
2020-07-30 16:54:09,-3.993384,-79.201289,Av. Reinaldo Espinosa,CON_LESIONADOS,Choque Vehicular,Distraccion (celular/radio),51,LESIONADO,MUJER,PEATON,,,,,,,,
2020-08-06 20:04:56,-3.995181,-79.212952,Av. Isidro Ayora,SOLO_DANOS,Accidente Laboral,Exceso de velocidad,,,,,,,,,,,,
2020-12-07 00:08:02,-3.980055,-79.213047,Calle Montufar,CON_FALLECIDOS,Incendio,Falla mecanica,53,FALLECIDO,MUJER,PEATON,32,LESIONADO,NO_REGISTRA,CICLISTA,60,LESIONADO,NO_REGISTRA,OTRO
2020-01-02 19:15:26,-4.028775,-79.222656,Calle 18 de Noviembre,SOLO_DANOS,Incendio,Equipo de seguridad deficiente,,,,,,,,,,,,
2020-11-30 05:52:06,-3.996225,-79.219512,Calle Ramon Borrero,CON_FALLECIDOS,Volcamiento,Via resbaladiza o mojada,36,FALLECIDO,NO_REGISTRA,OTRO,58,FALLECIDO,HOMBRE,SCOOTER,11,LESIONADO,HOMBRE,VEH_LIVIANO
